广东频道,#genre#
珠江,http://ci.emdoor.tech:8080/touchtv.php?pk=1183
珠江,http://www.namewee.xyz/gudou.php?id=gdzhujiangHD_7500
珠江,http://121.13.164.33:8000/udp/239.77.0.1:5146
珠江,http://119.131.240.27:8089/hls/2/index.m3u8
珠江,http://zteres.sn.chinamobile.com:6060/000000001000/2000000003000000033/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000033&livemode=1&stbId=3
珠江,http://gxdl-lhs.8866.org:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
珠江,http://gmxw.7766.org:808/hls/83/index.m3u8
珠江,http://39.134.19.229:6410/000000001000/1000000004000011655/1.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=3&IASHttpSessionId=RR503720231124053529907980
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
翡翠台,http://198.16.100.90:8278/Wlt/playlist.m3u8?tid=MC9C7523788875237888&ct=19225&tsum=fc74aa160d3ca61369c2e5f3ae79ee8e
翡翠台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
翡翠台,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=571187
翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
广东体育,http://www.namewee.xyz/gudou.php?id=1413
广东体育,https://skype.serv00.net/itouch.php?id=gdty
广东体育,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel34/index.m3u8
广东体育,http://lhq-cctv.8866.org:18181/tsfile/live/1026_1.m3u8
广东新闻,http://www.namewee.xyz/gudou.php?id=1454
广东新闻,http://ci.emdoor.tech:8080/touchtv.php?pk=1186
广东新闻,http://lhq-cctv.8866.org:18181/tsfile/live/1023_1.m3u8
广州综合,http://www.namewee.xyz/gudou.php?id=gzhounewsHD
广州综合,https://justsometime.gztv.com/sec/zhonghe.m3u8
广州新闻,http://www.namewee.xyz/gudou.php?id=gzhouzongheHD
广州新闻,https://justsometime.gztv.com/sec/xinwen.m3u8
广州竞赛,http://www.namewee.xyz/gudou.php?id=gzfilmsgaoqing
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
广州影视,http://www.namewee.xyz/gudou.php?id=gzcompetitiongaoqing
佛山综合,http://www.namewee.xyz/gudou.php?id=foshanzongheHD_4500
